texto,label
"Reunião trouxe bons resultados","Produtivo"
"Conversa sem conclusão","Improdutivo"
"Cliente pediu mais detalhes sobre o serviço","Produtivo"
"Discussão sobre assuntos pessoais","Improdutivo"
"Planejamento de estratégias para o próximo trimestre","Produtivo"
"Intervalo para o café","Improdutivo"
"Treinamento sobre novas ferramentas","Produtivo"
"Revisão de documentos antigos","Improdutivo"
"Apresentação de novos projetos","Produtivo"
"Tempo gasto em redes sociais","Improdutivo"
"Feedback positivo do cliente","Produtivo"
"Conversas paralelas durante a reunião","Improdutivo"
"Muito obrigado pela ajuda","Improdutivo"
"Felicitações pelo excelente trabalho","Improdutivo"
"Discussão sobre metas e objetivos","Produtivo"
"Planejamento de atividades futuras","Produtivo"
"Atualização sobre o andamento do projeto","Produtivo"
"Revisão de tarefas pendentes","Produtivo"
"Quero marcar uma reunião","Produtivo"
"Vamos almoçar juntos","Improdutivo"
"Parabéns pelo sucesso alcançado","Improdutivo"
"Gostaria de discutir o orçamento","Produtivo"
"Tempo perdido em conversas irrelevantes","Improdutivo"
"Análise de dados para tomada de decisões","Produtivo"
"Discussão sobre problemas pessoais","Improdutivo"
"Treinamento sobre novas tecnologias","Produtivo"
"Solicitação de suporte técnico para o sistema","Produtivo"
"Agradecemos pela sua colaboração","Improdutivo"
"Pedido de atualização do status do chamado","Produtivo"
"Mensagem de boas-vindas a novos funcionários","Improdutivo"
"Cliente relatou problema no login","Produtivo"
"Convite para happy hour","Improdutivo"
"Solicitação de envio de relatório financeiro","Produtivo"
"Mensagem de agradecimento pela reunião","Improdutivo"
"Dúvida sobre o funcionamento do sistema","Produtivo"
"Mensagem de felicitações pelo aniversário","Improdutivo"
"Pedido de reunião para alinhar prioridades","Produtivo"
"Comentário sem relação com o trabalho","Improdutivo"
"Solicitação urgente de alteração no contrato","Produtivo"
"Mensagem de despedida de um colega","Improdutivo"
"Discussão sobre melhorias no processo","Produtivo"
"Conversa sobre planos para o fim de semana","Improdutivo"
